,Date,TimeGPT_no_finetune,TimeGPT_no_finetune-hi-95,TimeGPT_no_finetune-lo-95,unique_id_x,TimeGPT,TimeGPT-hi-95,TimeGPT-lo-95,Prophet,Prophet-hi-95,Prophet-lo-95,unique_id_y,LSTM,NHITS,RNN
73,2029-02-01,705.01355,710.657,699.3701,H1,1131.1768,1150.4901,1111.8634,701.3998809839267,588.7315074710847,811.1888814474794,,,,
74,2029-03-01,707.3229,713.939,700.7067,H1,1153.4166,1177.788,1129.0453,706.1493303301162,593.0312607463185,817.1350373745483,,,,
75,2029-04-01,709.9567,718.5718,701.3417,H1,1150.7418,1178.621,1122.8627,710.5705161774422,594.5618495055983,821.0201251580797,,,,
76,2029-05-01,715.07086,725.52765,704.6141,H1,1165.3534,1195.7966,1134.9102,714.9243893568502,599.230620062804,833.0158269325644,,,,
77,2029-06-01,716.0271,726.36127,705.69293,H1,1173.71,1206.1125,1141.3074,719.763856979857,601.2955296217963,836.4401502423289,,,,
78,2029-07-01,718.9054,731.20355,706.60724,H1,1199.5574,1237.0226,1162.0922,724.3986575968872,605.136119669841,846.2861179706849,,,,
79,2029-08-01,721.6151,735.2897,707.94055,H1,1209.2961,1249.44,1169.1523,729.0986502176266,605.4082582695121,852.3902971972617,,,,
80,2029-09-01,724.3973,740.4059,708.3887,H1,1229.6338,1274.423,1184.8446,733.8256574040024,610.7629298383902,860.0512354021798,,,,
81,2029-10-01,726.63574,744.90656,708.3649,H1,1226.0836,1270.7325,1181.4347,738.3094521206993,612.7795956613077,866.5192594748701,,,,
82,2029-11-01,727.4753,747.99365,706.9569,H1,1217.832,1261.5776,1174.0864,743.0272830208428,614.4331798725102,873.7428204233655,,,,
83,2029-12-01,732.23895,754.88495,709.59296,H1,1245.9902,1290.1818,1201.7987,749.6863633869324,620.3794153697656,879.9612587722687,,,,
84,2030-01-01,731.58276,756.42584,706.7397,H1,1254.3677,1297.7864,1210.949,752.2961813416753,616.363909469502,889.360646313036,,,,
85,2030-02-01,736.85364,761.82074,711.88654,H1,1285.4089,1333.0405,1237.7773,756.6562683288157,623.5670190864732,894.6319834274924,,,,
86,2030-03-01,738.2755,765.2773,711.27374,H1,1299.6155,1348.8624,1250.3685,760.8964499430656,622.2116892928722,901.7815302305843,,,,
87,2030-04-01,741.2182,769.63043,712.80597,H1,1290.3192,1337.9972,1242.6412,765.4578226576313,622.8177776985546,907.0293500904314,,,,
88,2030-05-01,745.7087,775.7727,715.64465,H1,1299.957,1346.7751,1253.1389,769.9555798129117,624.3442519113806,913.9090768643067,,,,
89,2030-06-01,746.71716,780.3415,713.09283,H1,1301.0806,1344.4127,1257.7484,774.8385213489936,629.4210986466353,921.2518677555279,,,,
90,2030-07-01,749.4852,785.28937,713.6811,H1,1324.2786,1369.6729,1278.8843,779.3728786773362,630.3178339699069,929.2461665427492,,,,
91,2030-08-01,750.84485,789.2264,712.4633,H1,1325.8066,1370.5586,1281.0547,783.9673385898919,635.0111990881928,936.1754212311497,,,,
92,2030-09-01,754.16254,795.96875,712.3563,H1,1343.8586,1390.6704,1297.0469,788.7356370848432,638.9603337727252,944.4519484337158,,,,
93,2030-10-01,755.36707,800.0761,710.658,H1,1333.3347,1378.2703,1288.3992,793.2328345781989,640.6293851982026,953.3796232902602,,,,
94,2030-11-01,756.3721,804.2717,708.4724,H1,1325.8423,1368.7726,1282.912,798.031738988108,642.4425867952092,965.6651546474404,,,,
95,2030-12-01,759.64026,821.89404,697.3865,H1,1347.149,1391.3218,1302.9763,804.7906051623537,647.9701803667355,969.6283010787861,,,,
96,2031-01-01,759.8785,762.3714,757.38556,H1,1376.2969,1387.4412,1365.1526,807.0006592245289,648.9802888945825,976.3884449311207,,,,
97,2031-02-01,764.2957,769.9391,758.65234,H1,1412.7273,1432.0406,1393.414,811.9130889126445,651.5314938855244,980.0825500271037,,,,
98,2031-03-01,766.11,772.72614,759.49384,H1,1438.7083,1463.0796,1414.3369,815.6403866972638,649.1095342502971,988.6370967214818,,,,
99,2031-04-01,768.18225,776.7973,759.5672,H1,1429.6163,1457.4955,1401.7372,820.3488256529206,652.7226916054368,1000.870081825764,,,,
100,2031-05-01,772.2509,782.7077,761.7941,H1,1446.233,1476.6763,1415.7898,824.9900638287137,654.2121465474967,1008.7922904217413,,,,
101,2031-06-01,772.76086,783.09503,762.4267,H1,1454.794,1487.1965,1422.3914,829.9124889242592,658.6711530209492,1012.3308053799219,,,,
102,2031-07-01,775.1497,787.4479,762.85156,H1,1484.9967,1522.4619,1447.5315,834.3435355884926,656.4692328137727,1020.6709821839228,,,,
103,2031-08-01,777.0094,790.68396,763.33484,H1,1495.0144,1535.1582,1454.8706,838.8343081118172,661.7380401628136,1028.4941858949571,,,,
104,2031-09-01,779.5238,795.5324,763.5152,H1,1518.0137,1562.8029,1473.2245,843.6464029657977,664.6270629786567,1036.1420916662335,,,,
105,2031-10-01,781.1456,799.41644,762.8748,H1,1510.842,1555.491,1466.1931,848.1586311991181,666.9652441625323,1040.0868370828866,,,,
106,2031-11-01,781.534,802.05237,761.0156,H1,1500.8076,1544.5532,1457.062,853.0388539486597,669.317080674626,1049.6862503275004,,,,
107,2031-12-01,784.98834,807.63434,762.34235,H1,1530.6504,1574.8419,1486.4589,859.8908600252092,673.1412943417174,1060.1969186135286,,,,
108,2032-01-01,784.5385,809.3816,759.69543,H1,1543.5349,1586.9536,1500.1162,861.7065088978748,672.2293806330915,1061.2012647092922,,,,
109,2032-02-01,788.7317,813.6988,763.7646,H1,1578.8566,1626.4882,1531.225,867.1701033559158,675.8179086816356,1072.2375317112715,,,,
110,2032-03-01,789.8269,816.8287,762.82513,H1,1595.8625,1645.1095,1546.6156,871.3836652686055,672.4596242258264,1077.0332128520786,,,,
111,2032-04-01,792.243,820.6552,763.83075,H1,1579.6667,1627.3447,1531.9888,875.6716332141231,680.8483697815498,1084.2343081439258,,,,
112,2032-05-01,795.844,825.908,765.77997,H1,1590.4261,1637.2443,1543.608,879.8814486457986,680.1243412990018,1090.5224406362024,,,,
113,2032-06-01,796.3733,829.9976,762.74896,H1,1590.7528,1634.085,1547.4207,884.6735180497857,681.0858537331259,1099.4562943394947,,,,
114,2032-07-01,798.7257,834.52985,762.9216,H1,1618.387,1663.7812,1572.9927,889.4057503763371,686.4487469631388,1110.4441756605834,,,,
115,2032-08-01,799.6151,837.99664,761.2336,H1,1618.5569,1663.3088,1573.8049,894.2129787513521,684.8038872118586,1116.917211139648,,,,
116,2032-09-01,802.4722,844.27844,760.666,H1,1638.8481,1685.6599,1592.0364,898.9012172307158,688.9651701637462,1118.7619289666857,,,,
117,2032-10-01,803.3329,848.04193,758.62384,H1,1624.2004,1669.136,1579.2649,903.3732974526629,686.8909845352733,1127.935494612195,,,,
118,2032-11-01,803.891,851.79065,755.99133,H1,1615.0863,1658.0166,1572.156,908.0104344090153,686.5453883950624,1136.066917887896,,,,
119,2032-12-01,806.16943,868.4232,743.91565,H1,1637.8064,1681.9791,1593.6337,914.5631111444799,697.4274689883397,1147.5152533482876,,,,
120,2033-01-01,806.32025,808.8132,803.82733,H1,1670.2861,1681.4304,1659.1418,917.5777461070572,695.6481775982442,1150.9122000110895,,,,
121,2033-02-01,809.7599,815.4033,804.11646,H1,1711.1987,1730.5121,1691.8854,921.3847334422446,695.6962944929815,1161.2814881660947,,,,
122,2033-03-01,811.0949,817.71106,804.47876,H1,1741.2539,1765.6252,1716.8826,926.1341827884331,699.37937865002,1168.9584266255954,,,,
123,2033-04-01,812.73114,821.3462,804.1161,H1,1723.52,1751.3992,1695.6409,930.5553686357606,700.7374471990055,1175.792486558962,,,,
124,2033-05-01,815.8868,826.34357,805.43,H1,1742.6427,1773.0859,1712.1995,934.9092418151706,699.9481553405695,1184.8959794689877,,,,
125,2033-06-01,816.11224,826.44635,805.77814,H1,1750.9567,1783.3593,1718.5541,939.7487094381773,704.239304275309,1193.2297441964736,,,,
126,2033-07-01,818.0559,830.35406,805.75775,H1,1784.9695,1822.4347,1747.5043,944.383510055208,702.8897164591858,1197.4247508490791,,,,
127,2033-08-01,819.3001,832.9747,805.62555,H1,1795.1388,1835.2826,1754.995,949.0835026759452,707.1786041120213,1206.6236402983402,,,,
128,2033-09-01,821.48065,837.48926,805.47205,H1,1820.661,1865.4502,1775.8718,953.8105098623209,711.6874498638075,1214.174007921976,,,,
129,2033-10-01,822.6521,840.9229,804.3813,H1,1808.6846,1853.3335,1764.0356,958.2943045790206,715.095929845125,1227.7605697452032,,,,
130,2033-11-01,822.76575,843.2841,802.2474,H1,1797.9277,1841.6733,1754.1821,963.012135479162,714.1468305438686,1230.7824148591615,,,,
131,2033-12-01,825.3163,847.9623,802.6703,H1,1828.9482,1873.1398,1784.7567,969.6712158452542,720.523021556467,1243.1485765728853,,,,
132,2034-01-01,824.9929,849.836,800.14984,H1,1846.2737,1889.6924,1802.855,972.2810337999916,718.6499243923251,1245.7625226425826,,,,
133,2034-02-01,828.28503,853.25214,803.31793,H1,1885.8982,1933.5298,1838.2666,976.6411207871341,717.5280349273362,1254.1107882160322,,,,
134,2034-03-01,829.07184,856.0736,802.07007,H1,1905.9828,1955.2297,1856.7358,980.8813024013865,722.6359032996257,1256.1608656989422,,,,
135,2034-04-01,831.0279,859.4401,802.61566,H1,1881.0687,1928.7467,1833.3907,985.4426751159515,726.8603200875787,1268.196189715774,,,,
136,2034-05-01,833.83246,863.8965,803.76843,H1,1893.4385,1940.2566,1846.6204,989.940432271231,727.8596876713708,1274.013171724381,,,,
137,2034-06-01,834.06177,867.6861,800.43744,H1,1892.7991,1936.1312,1849.4669,994.8233738073156,726.2228777772442,1278.6240375490154,,,,
138,2034-07-01,835.995,871.79913,800.19086,H1,1924.0652,1969.4595,1878.6709,999.3577311356564,729.553592378717,1286.9280920564474,,,,
139,2034-08-01,836.5531,874.93463,798.1716,H1,1923.0361,1967.7881,1878.2842,1003.952191048213,733.1604268738901,1295.8820159547706,,,,
140,2034-09-01,838.9332,880.73944,797.127,H1,1945.0895,1991.9012,1898.2777,1008.7204895431628,729.5300070922046,1303.4441433971867,,,,
141,2034-10-01,839.5517,884.26074,794.84265,H1,1925.3276,1970.2632,1880.3921,1013.21768703652,733.1453402549098,1309.360072776205,,,,
142,2034-11-01,839.8225,887.72217,791.92285,H1,1915.7532,1958.6835,1872.8229,1018.0165914464291,738.0321863188572,1321.13820423172,,,,
143,2034-12-01,841.47125,903.72504,779.21747,H1,1939.365,1983.5377,1895.1923,1024.7754576206737,742.285126832954,1326.8372205987073,,,,
144,2035-01-01,841.56415,844.05707,839.0712,H1,1974.8693,1986.0134,1963.7251,1026.9855116828503,740.7931288388137,1331.932380481774,,,,
145,2035-02-01,844.2254,849.8688,838.58203,H1,2021.3501,2040.6635,2002.0367,1031.8979413709633,746.9056753196867,1341.6801224602511,,,,
146,2035-03-01,845.19275,851.8089,838.5766,H1,2056.0981,2080.4695,2031.7268,1035.6252391555852,742.4574403614577,1345.7534998133603,,,,
147,2035-04-01,846.4769,855.092,837.8619,H1,2026.7861,2054.6653,1998.907,1040.333678111241,744.4950825570148,1354.863118320529,,,,
148,2035-05-01,848.8797,859.3365,838.4229,H1,2049.7773,2080.2205,2019.3341,1044.9749162870326,744.811993082209,1358.7061570183969,,,,
149,2035-06-01,848.9556,859.28973,838.6215,H1,2057.0874,2089.49,2024.6848,1049.8973413825793,750.2997057365606,1366.0885471046013,,,,
150,2035-07-01,850.50854,862.8067,838.2104,H1,2093.9111,2131.3765,2056.4458,1054.3283880468136,752.6327575371931,1374.0765276301674,,,,
151,2035-08-01,851.33105,865.0056,837.6565,H1,2105.122,2145.2656,2064.9785,1058.8191605701386,750.5135387335382,1380.5409891707284,,,,
152,2035-09-01,853.1557,869.1643,837.1471,H1,2132.7927,2177.582,2088.0034,1063.6312554241188,754.5763713116636,1388.671584780672,,,,
153,2035-10-01,854.0115,872.2823,835.74066,H1,2114.5706,2159.2195,2069.9216,1068.1434836574383,748.9681306707117,1398.0495020805263,,,,
154,2035-11-01,853.9592,874.4776,833.44086,H1,2104.083,2147.8286,2060.3374,1073.023706406979,757.42280529285,1405.6944070840118,,,,
155,2035-12-01,855.8747,878.5207,833.2287,H1,2135.529,2179.7205,2091.3376,1079.8757124835279,758.8034280564619,1414.1196968113272,,,,
156,2036-01-01,855.63434,880.4774,830.79126,H1,2156.8572,2200.276,2113.4385,1081.6913613561896,753.8426080219452,1415.6130588512422,,,,
157,2036-02-01,858.1924,883.1595,833.2253,H1,2201.4482,2249.0798,2153.8167,1087.154955814241,757.9864089757772,1425.3025571100195,,,,
158,2036-03-01,858.74817,885.74994,831.7464,H1,2225.5479,2274.7947,2176.301,1091.3685177269276,764.9380105652878,1434.7467898366467,,,,
159,2036-04-01,860.2984,888.71063,831.88617,H1,2189.4238,2237.102,2141.7456,1095.6564856724428,767.002524482041,1441.6124644014124,,,,
160,2036-05-01,862.4469,892.5109,832.3829,H1,2204.5627,2251.3809,2157.7446,1099.8663011041176,762.5138786879481,1449.613613900427,,,,
161,2036-06-01,862.5047,896.129,828.8804,H1,2202.7217,2246.054,2159.3894,1104.658370508106,769.5528200280387,1456.7328264031958,,,,
162,2036-07-01,864.04706,899.8512,828.2429,H1,2236.2769,2281.6711,2190.8826,1109.3906028346576,762.9786946079888,1465.7513673844887,,,,
163,2036-08-01,864.3833,902.76483,826.0018,H1,2234.8896,2279.6416,2190.1377,1114.1978312096717,774.9026295328871,1469.7112624215126,,,,
164,2036-09-01,866.3352,908.1414,824.529,H1,2257.9932,2304.805,2211.1814,1118.8860696890354,777.5419884307742,1479.3595124093717,,,,
165,2036-10-01,866.7839,911.4929,822.0748,H1,2231.929,2276.8645,2186.9934,1123.358149910983,777.6294638329925,1488.2438480878127,,,,
166,2036-11-01,866.8654,914.765,818.9658,H1,2222.5073,2265.4377,2179.577,1127.995286867335,779.6588384680198,1496.944789675857,,,,
167,2036-12-01,868.093,930.3468,805.83923,H1,2246.3662,2290.5388,2202.1936,1134.5479636028017,783.385552987374,1502.4210160213518,,,,
168,2037-01-01,868.15045,870.6434,865.65753,H1,2283.8074,2294.9517,2272.663,1137.5625985653753,781.3014882685881,1510.631506539716,,,,
169,2037-02-01,870.19275,875.8362,864.5493,H1,2337.7534,2357.0667,2318.4402,1141.3695859005688,780.3849864536061,1513.7640799604026,,,,
170,2037-03-01,870.89233,877.5085,864.2762,H1,2377.2659,2401.6372,2352.8945,1146.1190352467543,782.6445578034645,1528.7328357001313,,,,
171,2037-04-01,871.8826,880.4977,863.2676,H1,2332.6938,2360.573,2304.8147,1150.5402210940817,783.6116029301786,1534.0410997759175,,,,
172,2037-05-01,873.6947,884.15155,863.23785,H1,2360.8906,2391.3337,2330.4475,1154.8940942734891,787.2059723010578,1541.6946493887845,,,,
173,2037-06-01,873.6956,884.0297,863.3615,H1,2367.0696,2399.4722,2334.667,1159.7335618964971,791.8594577420192,1548.258142319089,,,,
174,2037-07-01,874.9101,887.20825,862.61194,H1,2405.1282,2442.5935,2367.6628,1164.3683625135286,788.7528209768944,1555.0382560562969,,,,
175,2037-08-01,875.45496,889.1295,861.7804,H1,2418.9006,2459.0442,2378.757,1169.0683551342659,792.5882446677259,1565.026686840181,,,,
176,2037-09-01,876.94745,892.95605,860.93884,H1,2448.137,2492.9263,2403.3477,1173.7953623206408,790.831417598652,1569.9314019427252,,,,
177,2037-10-01,877.57526,895.84607,859.30444,H1,2421.8257,2466.4746,2377.1768,1178.2791570373402,795.7077652133615,1582.593854272464,,,,
178,2037-11-01,877.4326,897.951,856.91425,H1,2413.3198,2457.0654,2369.5742,1182.9969879374835,794.7608889954873,1592.3117206225525,,,,
179,2037-12-01,878.88275,901.52875,856.23676,H1,2444.172,2488.3635,2399.9807,1189.6560683035734,799.8774633593583,1601.2834528629896,,,,
180,2038-01-01,878.7032,903.54626,853.8601,H1,2468.5906,2512.0093,2425.1719,1192.2658862583135,799.1640287857285,1608.905709413457,,,,
